id,appId,displayName,servicePrincipalType,accountEnabled,csa_set,csa_attr
4d66e442-b8cc-4c51-9f5f-b651c564c8e4,207a4295-aa26-4d5d-af65-500cac25935f,Maximo Application Suite,Application,TRUE,SSO,UniqueUserIdentifier
a0d53b5c-7028-4ad5-bba9-1be1110a75ae,b4f68645-35cd-409f-a5e7-8beb0d82ba80,AZ_APP_NGET_PORTFOLIO_API_FOF_SSO,Application,TRUE,SSO,UniqueUserIdentifier
fcaf5d3c-0d18-44fd-afec-b791a2fcdd48,2ebfe85a-3d0e-4f30-9e8c-24c3ab0d4f9a,AZ_APP_NGET_PORTFOLIO_SPA_FOF_SSO,Application,TRUE,SSO,UniqueUserIdentifier
6c194ad6-14fe-47b8-b7d5-cb8161832d0c,16a0161d-272e-4b08-9979-488630329b36,aae-fof-uks-aaeivtg-app-01_SSO,Application,TRUE,SSO,UniqueUserIdentifier
c33d2c77-5934-4275-9f82-93b929716097,6ebb3ccd-25a7-432c-8361-3c3a5670b659,Equate Plus Prod_Admin_SSO,Application,TRUE,SSO,UniqueUserIdentifier
c8552fc2-20f8-4edc-947b-30c8cdb21a29,74d3da51-ffad-40f5-87d3-aa508434fecc,SAP Fiori ABAP QAS ECC OR9 SSO,Application,TRUE,SSO,UniqueUserIdentifier
a97a47a7-52a0-4371-9dae-dd6c69e73dd1,0e566248-db82-4b7e-94ef-a3a192ababf7,SAP Fiori ABAP QAS GRC OG9 SSO,Application,TRUE,SSO,UniqueUserIdentifier
516478ab-cdcc-4a13-a887-6278b70be067,a1edff61-623a-4bc8-ba31-9890848e32a9,SAP Fiori ABAP QAS ECC O10 SSO,Application,TRUE,SSO,UniqueUserIdentifier
ed0c9e4c-3b9d-4024-a5d8-25730bb169d6,1e23df72-c802-4f14-84f7-b8fd18624890,Oracle analytics server (OASQA1),Application,TRUE,SSO,UniqueUserIdentifier
3f45c60d-ad8e-40ed-a87a-12ce776bfc1a,0e564fdd-756c-4886-963a-3a2570fe2056,Nationalgrid.com Rebuild Prod SSO,Application,TRUE,SSO,UniqueUserIdentifier
